title,link,rating,price
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight",https://amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0DLHFM2XL/ref=sr_1_36?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.c0AGM-ec-ORGO_vJtV1hdZ04Duttv-filjFcdkx6k1czDu1kUelXFnY0t7x6Ij9jsy4NP1wsQzDJvClnsG0rEysWKbjz1TC9mcol4n511sUAnj_fcpieZL3B2t2WCrME_No0hrJI2KqQoP3oUrTKUef5V2fDAA7P7-S85hvqWAtwUjjqf8NtB9SJ7-fK5Mr-CwTXE5WzY9vuEMKBzjAJRe4p1EOKa-mJRr3VbGivdHA.IK2V4uOXlmQPkbPQYF5MDphKj3uj_-2NOIEYezqcLVc&dib_tag=se&keywords=Laptop+i9&qid=1750721572&sprefix=laptop%2Caps%2C207&sr=8-36,4.5 out of 5 stars,N/A
"Acer Predator Helios Neo 16 Gaming Laptop 14th Gen Intel Core i9 Processor (Windows 11 Home/16 GB/1 TB SSD/NVIDIA GeForce RTX 4070) PHN16-72 with 40.64 cm (16"") WQXGA Display",https://amazon.in/Acer-Predator-Processor-Windows-PHN16-72/dp/B0CXPW7BRZ/ref=sr_1_50?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.NtgkTkiKPErbBGztwsc1_LvV-T5fOfrUJPx6IdkaOBwZCcXf19oOLplUgbrohsWlofYL5dShEAvUWaBF6Wq1JGNrdvFaFcpxqnXJ6q3m4s8FXxrmsSSF_rWmQFabuh7UV8PiptAT6dMmqgds_sdQc9CAMdlefmwe9SpGrwaRSpI-39Mtq4Sb2ReEfw1mYtK58oyTjcRnSCC8duahuf4SKJ_DdPPyA66proX-Eg1WXm8.kBok-Q9cw-TcuNZpjd_UxqSqlMCiU5obNU54ZLz3HHo&dib_tag=se&keywords=Laptop+i9&qid=1750721579&sprefix=laptop%2Caps%2C207&sr=8-50,4.1 out of 5 stars,N/A
"Acer Travelmate Business Laptop Intel Core i7-1165G7 Processor (Windows 11 Home/16 GB DDR4/512 GB SSD/Intel Iris Xe Graphics) TMP214-53 with 35.56 cm (14"") Full HD Display",https://amazon.in/Acer-Travelmate-i7-1165G7-Processor-TMP214-53/dp/B0CHRNZ37L/ref=sr_1_221?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.qOnHqRD6ogQdAaBdYjMm4jCIaEOEJukTATi_pvT1h649rqatulSmIWnBIi04y5osGzq4b8hAZT2clEGyaermASNhXBSEDtOFmpNf-VhwoEV32nrt8tL4DAlJlL3Kg4wwTt5_F-BQOE_QjapP-xFoSRB5xLei-UBhZxUTcQxHgZu1mOA-l9--6ElQxe_6kimnWFN8iUwyRyHHxujIHmudcXaN7XzpsD4hAu54H6Q6im0.1FdprAAnVTiuCrhxLfyzjFSwOId7sXNf7py-5EWhWwI&dib_tag=se&keywords=Laptop+i9&qid=1750721647&sprefix=laptop%2Caps%2C207&sr=8-221,3.2 out of 5 stars,N/A
"Lenovo Legion Pro 5 Intel Core i9-14900HX 16"" (40.64cm) WQXGA IPS 500Nits 240Hz Gaming Laptop (32GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 4070 8GB/100% DCI-P3/3 Month Game Pass/Grey/2.5Kg), 83DF003PIN",https://amazon.in/Lenovo-i9-14900HX-40-64cm-500Nits-83DF003PIN/dp/B0CXPY5HF2/ref=sr_1_34?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.c0AGM-ec-ORGO_vJtV1hdZ04Duttv-filjFcdkx6k1czDu1kUelXFnY0t7x6Ij9jsy4NP1wsQzDJvClnsG0rEysWKbjz1TC9mcol4n511sUAnj_fcpieZL3B2t2WCrME_No0hrJI2KqQoP3oUrTKUef5V2fDAA7P7-S85hvqWAtwUjjqf8NtB9SJ7-fK5Mr-CwTXE5WzY9vuEMKBzjAJRe4p1EOKa-mJRr3VbGivdHA.IK2V4uOXlmQPkbPQYF5MDphKj3uj_-2NOIEYezqcLVc&dib_tag=se&keywords=Laptop+i9&qid=1750721572&sprefix=laptop%2Caps%2C207&sr=8-34,4.0 out of 5 stars,N/A
"ASUS TUF Gaming A14, AMD Ryzen AI 9 HX 370 Gaming Laptop(NVIDIA RTX 4060-8GB/100WTGP/32GB RAM/2TB SSD/2.5K QHD+/14""/165Hz/Backlit KB/73WHr/Windows 11/Office 2021/Jaeger Gray/1.46 Kg) FA401WV-RG037WS",https://amazon.in/ASUS-Processor-GeForce-Windows-FA401WV-RG037WS/dp/B0DBLMYJJ6/ref=sr_1_118?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.IXqIg1mhYqJYvYCHLmZd7Yx-428eVLAPMydS9vmJwmEYYgsLYqVhPDdQ7vPDH6mL31aexkv4_ShduM6NwEVFmjaOPEMWne-ppi3xwI1mDpfuK6hLLkA1Y-yXTF4sGDNxeR2YFuXxzYD6bORkaz9z1GJqsk5ckxte8Y5c4Pltvyiy6hlJIY56ygFUOhm1z8UGe1SMv1vgl0yXtAL-4HcpWVQKLyBCWLdshLRAp62biTM.DhPPOC-DFMAhlab5iHnuL5TwCWTHM8ffjtdn7jWcn9g&dib_tag=se&keywords=Laptop+i9&qid=1750721605&sprefix=laptop%2Caps%2C207&sr=8-118,4.2 out of 5 stars,N/A
"MSI Vector 17 HX, Intel 14th Gen. i9-14900HX, 43CM QHD+ 240Hz Gaming Laptop (32GB/2TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4080, GDDR6 12GB/Cosmos Grey/3Kg), A14VHG-806IN",https://amazon.in/MSI-i9-14900HX-Windows-GeForce-A14VHG-806IN/dp/B0CTQV9LWZ/ref=sr_1_69?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.rUDnItKqaiDaAjOJr-Z2ecS9xuP7UrVkhXo5azXwUYfqLmewOmUTt0NDEDGYhWxjTUzX0WoY7qf8EKQMDi6NrRtdaze-bNv5a8c7H4P6laKNsZGn_4KojqIMCbd2B97Z5M2mcfR_I7rWvrphPTZZaJGc2_HyxIWCbsMvL86TeUHyVYVJsomE0A5doBIaRWt4GJZn1QfAF_IOFBvf30OBCMMWACKPBVvsun5mcwYRpP0.Db_I8X9FnJM6d8SjvP-nSNV3XEo2XdlqVV6nScYKxNg&dib_tag=se&keywords=Laptop+i9&qid=1750721587&sprefix=laptop%2Caps%2C207&sr=8-69,3.8 out of 5 stars,N/A
"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Space Black",https://amazon.in/Apple-2024-MacBook-Laptop-10%E2%80%91core/dp/B0DLHXVCXJ/ref=sr_1_134?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.Bd_XATWCHSnCNKwOsWMjhIAzu7s0JnG7U0v1mrEovmoz__gmqufwDVVuFv4pZeNUv-A1MfJeUz1vbPJZNe-s0eg9KD3P4qcbx6tZiX50Y7BMb_0u3Q2ICZ60QAdfZKuk8Q-M5tp1VJcoN_XD2spPaW5nRcTbV-NtX9b3d8-L0mVgSYw5I8mUrMehQMei_X162P1ThgO0YibJe-NL1g7dXQVbAeHP0mijKA4kwwZD2SA.kbkgNfIWVFYxks7opK4SYRQuTOrNUPE_wGkknbPBm64&dib_tag=se&keywords=Laptop+i9&qid=1750721609&sprefix=laptop%2Caps%2C207&sr=8-134,4.9 out of 5 stars,N/A
"MSI Vector 17 HX, Intel 14th Gen. i9-14900HX, 43CM QHD+ 240Hz Gaming Laptop (32GB/2TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070, GDDR6 8GB/Cosmos Black/3Kg), A14VGG-239IN",https://amazon.in/MSI-i9-14900HX-Windows-GeForce-A14VGG-239IN/dp/B0D1VK14G2/ref=sr_1_77?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.rUDnItKqaiDaAjOJr-Z2ecS9xuP7UrVkhXo5azXwUYfqLmewOmUTt0NDEDGYhWxjTUzX0WoY7qf8EKQMDi6NrRtdaze-bNv5a8c7H4P6laKNsZGn_4KojqIMCbd2B97Z5M2mcfR_I7rWvrphPTZZaJGc2_HyxIWCbsMvL86TeUHyVYVJsomE0A5doBIaRWt4GJZn1QfAF_IOFBvf30OBCMMWACKPBVvsun5mcwYRpP0.Db_I8X9FnJM6d8SjvP-nSNV3XEo2XdlqVV6nScYKxNg&dib_tag=se&keywords=Laptop+i9&qid=1750721587&sprefix=laptop%2Caps%2C207&sr=8-77,5.0 out of 5 stars,N/A
"ASUS Vivobook 16X 12th Gen,Intel Core i7-12700H Fingerprint Creator/Gaming Laptop(NVIDIA RTX 3050-4GB/16GB RAM/512GB SSD/FHD+/16.0""/144Hz/Windows 11/Office 2021/Cool Silver/1.67 kg) K3605ZC-RP628WS",https://amazon.in/ASUS-Vivobook-i7-12700H-Fingerprint-K3605ZC-RP628WS/dp/B09LC8CWLL/ref=sr_1_65?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.DHDa_XMmVE6xSkphu8kG6wIzfWD9tu8U0JjP2ctIq8oshk6ejJ8GzUI_bqZp5AQFL_2XgrcQ4wuMtOw57z4z5hiGy8oAbKu4uXtE_FpCkS3HALLedm_8AJUd6_0OJOKMNWDPE_1Wtuy_fWsTT2VRDDWhrcQSTyM-uQUlXnI4R5RhbCTIve7OsxWqYBxr1KJmE1ZrzHCsm8A4l8iIW2O0Z5fPaVGgq3BPW4P1XYlMW-c.paeK3WuO_qoOCeg01n9kkyKN4jOWjHPyVZTkMU9PVEs&dib_tag=se&keywords=Laptop+i9&qid=1750721583&sprefix=laptop%2Caps%2C207&sr=8-65,2.6 out of 5 stars,N/A
"MSI Katana A17 AI, AMD 8th Gen. Ryzen 9 8945HS,Built-in AI, 44CM Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6/Black/2.6Kg), B8VE-884IN",https://amazon.in/MSI-Windows-GeForce-RTX4050-B8VE-884IN/dp/B0BV1GBXKP/ref=sr_1_67?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.rUDnItKqaiDaAjOJr-Z2ecS9xuP7UrVkhXo5azXwUYfqLmewOmUTt0NDEDGYhWxjTUzX0WoY7qf8EKQMDi6NrRtdaze-bNv5a8c7H4P6laKNsZGn_4KojqIMCbd2B97Z5M2mcfR_I7rWvrphPTZZaJGc2_HyxIWCbsMvL86TeUHyVYVJsomE0A5doBIaRWt4GJZn1QfAF_IOFBvf30OBCMMWACKPBVvsun5mcwYRpP0.Db_I8X9FnJM6d8SjvP-nSNV3XEo2XdlqVV6nScYKxNg&dib_tag=se&keywords=Laptop+i9&qid=1750721587&sprefix=laptop%2Caps%2C207&sr=8-67,4.5 out of 5 stars,"99,990"
